bucket,pm_up,pm_down,size_up,size_down,avg_up,avg_down,roi_if_up,roi_if_down
000-029,0.5600,0.4400,54.5584,0.0000,0.5775,0.0000,0.7315,-1.0000
030-059,0.6100,0.3800,660.5026,916.8664,0.6157,0.4481,-0.1921,0.1214
060-089,0.7500,0.2500,1527.3679,916.8664,0.6620,0.4481,0.0741,-0.3552
090-119,0.7400,0.2500,1527.3679,916.8664,0.6620,0.4481,0.0741,-0.3552
120-149,0.6900,0.3000,1527.3679,916.8664,0.6620,0.4481,0.0741,-0.3552
150-179,0.6700,0.3300,1527.3679,1016.7113,0.6620,0.4365,0.0498,-0.3012
180-209,0.5900,0.4000,1527.3679,1195.1569,0.6620,0.4284,0.0027,-0.2154
210-239,0.5300,0.4600,1599.5424,1892.5167,0.6558,0.4475,-0.1563,-0.0018
240-269,0.3000,0.6700,1599.5424,2357.8645,0.6558,0.4655,-0.2549,0.0984
270-299,0.2300,0.7600,1599.5424,2744.4029,0.6558,0.4992,-0.3387,0.1346
300-329,0.1500,0.8400,1807.7248,2744.4029,0.5996,0.4992,-0.2633,0.1185
330-359,0.1900,0.8000,1807.7248,2744.4029,0.5996,0.4992,-0.2633,0.1185
360-389,0.1800,0.8000,2197.8039,2744.4029,0.5386,0.4992,-0.1394,0.0747
390-419,0.1100,0.8800,2197.8039,2862.9995,0.5386,0.5143,-0.1726,0.0778
420-449,0.0500,0.9400,2197.8039,2882.8843,0.5386,0.5171,-0.1783,0.0779
450-479,0.0800,0.9200,2212.9588,2882.8843,0.5355,0.5171,-0.1730,0.0774
480-509,0.0600,0.9300,2254.2287,2882.8843,0.5266,0.5171,-0.1582,0.0765
510-539,0.0700,0.9200,2254.2287,2882.8843,0.5266,0.5171,-0.1582,0.0765
540-569,0.0900,0.9000,2254.2287,2922.6539,0.5266,0.5226,-0.1696,0.0767
570-599,0.1400,0.8500,2254.2287,3134.9101,0.5266,0.5473,-0.2234,0.0800
600-629,0.0500,0.9400,2254.2287,3149.7697,0.5266,0.5488,-0.2269,0.0803
630-659,0.0400,0.9500,2254.2287,3149.7697,0.5266,0.5488,-0.2269,0.0803
660-689,0.0100,0.9800,2382.2772,3149.7697,0.5007,0.5488,-0.1845,0.0782
690-719,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
720-749,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
750-779,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
780-809,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
810-839,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
840-869,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
870-899,0.0100,0.9800,3085.3182,3149.7697,0.3889,0.5488,0.0536,0.0756
