target_price,max_time,max_trades_per_window,windows_tested,trades,wins,losses,win_rate,total_pnl,avg_pnl,tp_hits,tp_hit_rate,up_trades,down_trades
0.12,600,2,656,1312,1061,251,0.8087,-78.93,-0.0602,1055,0.8041,644,668
0.12,720,2,656,1312,1061,251,0.8087,-78.93,-0.0602,1055,0.8041,644,668
0.12,840,2,656,1312,1061,251,0.8087,-78.93,-0.0602,1055,0.8041,644,668
0.1,600,2,656,1312,1084,228,0.8262,-116.31,-0.0887,1081,0.8239,644,668
0.1,720,2,656,1312,1084,228,0.8262,-116.31,-0.0887,1081,0.8239,644,668
0.1,840,2,656,1312,1084,228,0.8262,-116.31,-0.0887,1081,0.8239,644,668
0.11,600,2,656,1312,1067,245,0.8133,-118.65,-0.0904,1063,0.8102,644,668
0.11,720,2,656,1312,1067,245,0.8133,-118.65,-0.0904,1063,0.8102,644,668
0.11,840,2,656,1312,1067,245,0.8133,-118.65,-0.0904,1063,0.8102,644,668
0.09,600,2,656,1312,1098,214,0.8369,-128.79,-0.0982,1096,0.8354,644,668
0.09,720,2,656,1312,1098,214,0.8369,-128.79,-0.0982,1096,0.8354,644,668
0.09,840,2,656,1312,1098,214,0.8369,-128.79,-0.0982,1096,0.8354,644,668
0.12,600,3,656,1968,1588,380,0.8069,-131.838,-0.067,1578,0.8018,964,1004
0.12,720,3,656,1968,1588,380,0.8069,-131.838,-0.067,1578,0.8018,964,1004
0.12,840,3,656,1968,1588,380,0.8069,-131.838,-0.067,1578,0.8018,964,1004
0.11,600,3,656,1968,1599,369,0.8125,-183.558,-0.0933,1591,0.8084,964,1004
0.11,720,3,656,1968,1599,369,0.8125,-183.558,-0.0933,1591,0.8084,964,1004
0.11,840,3,656,1968,1599,369,0.8125,-183.558,-0.0933,1591,0.8084,964,1004
0.09,600,3,656,1968,1646,322,0.8364,-195.198,-0.0992,1642,0.8343,964,1004
0.09,720,3,656,1968,1646,322,0.8364,-195.198,-0.0992,1642,0.8343,964,1004
0.09,840,3,656,1968,1646,322,0.8364,-195.198,-0.0992,1642,0.8343,964,1004
0.12,600,4,656,2624,2113,511,0.8053,-197.784,-0.0754,2100,0.8003,1286,1338
0.12,720,4,656,2624,2113,511,0.8053,-197.784,-0.0754,2100,0.8003,1286,1338
0.12,840,4,656,2624,2113,511,0.8053,-197.784,-0.0754,2100,0.8003,1286,1338
0.1,600,3,656,1968,1619,349,0.8227,-201.438,-0.1024,1613,0.8196,964,1004
0.1,720,3,656,1968,1619,349,0.8227,-201.438,-0.1024,1613,0.8196,964,1004
0.1,840,3,656,1968,1619,349,0.8227,-201.438,-0.1024,1613,0.8196,964,1004
0.11,600,4,656,2624,2135,489,0.8136,-234.624,-0.0894,2124,0.8095,1286,1338
0.11,720,4,656,2624,2135,489,0.8136,-234.624,-0.0894,2124,0.8095,1286,1338
0.11,840,4,656,2624,2135,489,0.8136,-234.624,-0.0894,2124,0.8095,1286,1338
0.09,600,4,656,2624,2196,428,0.8369,-258.144,-0.0984,2191,0.835,1286,1338
0.09,720,4,656,2624,2196,428,0.8369,-258.144,-0.0984,2191,0.835,1286,1338
0.09,840,4,656,2624,2196,428,0.8369,-258.144,-0.0984,2191,0.835,1286,1338
0.1,600,4,656,2624,2162,462,0.8239,-258.624,-0.0986,2153,0.8205,1286,1338
0.1,720,4,656,2624,2162,462,0.8239,-258.624,-0.0986,2153,0.8205,1286,1338
0.1,840,4,656,2624,2162,462,0.8239,-258.624,-0.0986,2153,0.8205,1286,1338
